name,twitter link,twitter handle,district,party
"Aguiar-Curry, Cecilia M.",https://twitter.com/AsmAguiarCurry,AsmAguiarCurry,04,Democrat
"Alvarez, David",,,80,Democrat
"Arambula, Dr. Joaquin ",https://twitter.com/@AsmArambula,AsmArambula,31,Democrat
"Bauer-Kahan, Rebecca",https://twitter.com/BauerKahan,BauerKahan,16,Democrat
"Bennett, Steve",,,37,Democrat
"Berman, Marc",,,24,Democrat
"Bigelow, Frank",,,05,Republican
"Bloom, Richard",,,50,Democrat
"Boerner Horvath, Tasha",,,76,Democrat
"Bonta, Mia",,,18,Democrat
"Bryan, Isaac G.",,,54,Democrat
"Calderon, Lisa",,,57,Democrat
"Carrillo, Wendy",,,51,Democrat
"Cervantes, Sabrina ",,,60,Democrat
"Chen, Phillip",,,55,Republican
"Choi, Ph.D., Steven S.",,,68,Republican
"Cooley, Ken",,,08,Democrat
"Cooper, Jim",,,09,Democrat
"Cunningham, Jordan",,,35,Republican
"Dahle, Megan",,,01,Republican
"Daly, Tom",,,69,Democrat
"Davies, Laurie",,,73,Republican
"Flora, Heath",,,12,Republican
"Fong, Mike",,,49,Democrat
"Fong, Vince",,,34,Republican
"Friedman, Laura",,,43,Democrat
"Gabriel, Jesse",,,45,Democrat
"Gallagher, James",,,03,Republican
"Garcia, Cristina",,,58,Democrat
"Garcia, Eduardo",,,56,Democrat
"Gipson, Mike A.",,,64,Democrat
"Gray, Adam C.",,,21,Democrat
"Grayson, Timothy S.",,,14,Democrat
"Haney, Matt",,,17,Democrat
"Holden, Chris R.",,,41,Democrat
"Irwin, Jacqui",,,44,Democrat
"Jones-Sawyer, Sr., Reginald Byron",,,59,Democrat
"Kalra, Ash",,,27,Democrat
"Kiley, Kevin",,,06,Republican
"Lackey, Tom",,,36,Republican
"Lee, Alex",,,25,Democrat
"Levine, Marc",,,10,Democrat
"Low, Evan",,,28,Democrat
"Maienschein, Brian",https://twitter.com/BMaienschein,BMaienschein,77,Democrat
"Mathis, Devon J.",,,26,Republican
"Mayes, Chad",,,42,Independent
"McCarty, Kevin",,,07,Democrat
"McKinnor, Tina",,,62,Democrat
"Medina, Jose",,,61,Democrat
"Mullin, Kevin",,,22,Democrat
"Muratsuchi, Al",,,66,Democrat
"Nazarian, Adrin",,,46,Democrat
"Nguyen, Janet",,,72,Republican
"O'Donnell, Patrick",,,70,Democrat
"Patterson, Jim",,,23,Republican
"Petrie-Norris, Cottie",,,74,Democrat
"Quirk, Bill",,,20,Democrat
"Quirk-Silva, Sharon",,,65,Democrat
"Ramos, James C.",,,40,Democrat
"Rendon, Anthony",,,63,Democrat
"Reyes, Eloise Gómez",,,47,Democrat
"Rivas, Luz M.",,,39,Democrat
"Rivas, Robert",https://twitter.com/AsmRobertRivas,AsmRobertRivas,30,Democrat
"Rodriguez, Freddie",,,52,Democrat
"Rubio, Blanca E.",,,48,Democrat
"Salas, Jr., Rudy",,,32,Democrat
"Santiago, Miguel",,,53,Democrat
"Seyarto, Kelly",,,67,Republican
"Smith, Thurston ""Smitty""",,,33,Republican
"Stone, Mark",,,29,Democrat
"Ting, Philip Y. ",,,19,Democrat
"Valladares, Suzette Martinez",,,38,Republican
"Villapudua, Carlos",https://twitter.com/AsmVillapudua,AsmVillapudua,13,Democrat
"Voepel, Randy",,,71,Republican
"Waldron, Marie",,,75,Republican
"Ward, Christopher M.",,,78,Democrat
"Weber, M.D., Akilah",,,79,Democrat
"Wicks, Buffy",,,15,Democrat
"Wilson, Lori D.",,,11,Democrat
"Wood, Jim",,,02,Democrat
